cohort_month,total_users,month_number,percentage
2018-06-01,1064,2,8.928571428571429
2018-06-01,1064,3,8.364661654135338
2018-06-01,1064,4,7.706766917293233
2018-06-01,1064,5,7.612781954887218
2018-06-01,1064,6,6.954887218045113
2018-06-01,1064,7,6.578947368421052
2018-06-01,1064,8,6.015037593984962
2018-06-01,1064,9,6.860902255639098
2018-06-01,1064,10,5.545112781954887
2018-06-01,1064,11,5.2631578947368425
2018-06-01,1064,12,4.981203007518797
2018-06-01,1064,13,4.793233082706767
2018-06-01,1064,14,4.793233082706767
2018-06-01,1064,15,4.417293233082707
2018-06-01,1064,16,3.9473684210526314
2018-06-01,1064,17,2.819548872180451
2018-07-01,1050,0,25.428571428571427
2018-07-01,1050,1,8.0
2018-07-01,1050,2,6.571428571428571
2018-07-01,1050,3,6.0
2018-07-01,1050,4,6.476190476190476
2018-07-01,1050,5,6.190476190476191
2018-07-01,1050,6,4.190476190476191
2018-07-01,1050,7,4.571428571428571
2018-07-01,1050,8,3.238095238095238
2018-07-01,1050,9,3.9047619047619047
2018-07-01,1050,10,4.0
2018-07-01,1050,11,3.8095238095238093
2018-07-01,1050,12,3.4285714285714284
2018-07-01,1050,13,3.238095238095238
2018-07-01,1050,14,2.1904761904761907
2018-07-01,1050,15,2.9523809523809526
2018-07-01,1050,16,1.7142857142857142
2018-08-01,1141,0,23.57581069237511
2018-08-01,1141,1,10.429447852760736
2018-08-01,1141,2,8.238387379491673
2018-08-01,1141,3,7.361963190184049
2018-08-01,1141,4,7.800175284837861
2018-08-01,1141,5,6.660823838737949
2018-08-01,1141,6,5.346187554776511
2018-08-01,1141,7,4.382120946538125
2018-08-01,1141,8,4.294478527607362
2018-08-01,1141,9,3.943908851884312
2018-08-01,1141,10,4.645048203330412
2018-08-01,1141,11,4.031551270815075
2018-08-01,1141,12,3.242769500438212
2018-08-01,1141,13,3.1551270815074495
2018-08-01,1141,14,3.1551270815074495
2018-08-01,1141,15,2.541630148992112
2018-09-01,1123,0,21.01513802315227
2018-09-01,1123,1,8.103294746215495
2018-09-01,1123,2,7.212822796081923
2018-09-01,1123,3,6.41139804096171
2018-09-01,1123,4,5.253784505788068
2018-09-01,1123,5,4.986642920747997
2018-09-01,1123,6,5.1647373107747105
2018-09-01,1123,7,4.096170970614426
2018-09-01,1123,8,4.541406945681211
2018-09-01,1123,9,3.6509349955476402
2018-09-01,1123,10,3.205699020480855
2018-09-01,1123,11,3.116651825467498
2018-09-01,1123,12,2.5823686553873553
2018-09-01,1123,13,3.383793410507569
2018-09-01,1123,14,2.226179875333927
2018-10-01,1136,0,22.447183098591548
2018-10-01,1136,1,10.73943661971831
2018-10-01,1136,2,6.954225352112676
2018-10-01,1136,3,5.28169014084507
2018-10-01,1136,4,5.28169014084507
2018-10-01,1136,5,4.929577464788732
2018-10-01,1136,6,4.313380281690141
2018-10-01,1136,7,4.313380281690141
2018-10-01,1136,8,3.961267605633803
2018-10-01,1136,9,4.401408450704225
2018-10-01,1136,10,3.609154929577465
2018-10-01,1136,11,3.785211267605634
2018-10-01,1136,12,3.8732394366197185
2018-10-01,1136,13,2.816901408450704
2018-11-01,1208,0,22.350993377483444
2018-11-01,1208,1,9.7682119205298
2018-11-01,1208,2,6.043046357615894
2018-11-01,1208,3,5.629139072847682
2018-11-01,1208,4,4.801324503311259
2018-11-01,1208,5,5.380794701986755
2018-11-01,1208,6,4.387417218543046
2018-11-01,1208,7,4.304635761589404
2018-11-01,1208,8,4.2218543046357615
2018-11-01,1208,9,3.9735099337748343
2018-11-01,1208,10,2.814569536423841
2018-11-01,1208,11,3.80794701986755
2018-11-01,1208,12,2.4834437086092715
2018-12-01,1374,0,25.61863173216885
2018-12-01,1374,1,6.477438136826783
2018-12-01,1374,2,6.11353711790393
2018-12-01,1374,3,4.9490538573508
2018-12-01,1374,4,4.075691411935954
2018-12-01,1374,5,3.930131004366812
2018-12-01,1374,6,4.366812227074236
2018-12-01,1374,7,3.056768558951965
2018-12-01,1374,8,3.420669577874818
2018-12-01,1374,9,3.566229985443959
2018-12-01,1374,10,2.7656477438136826
2018-12-01,1374,11,2.183406113537118
2019-01-01,1093,0,22.04940530649588
2019-01-01,1093,1,8.417200365965233
2019-01-01,1093,2,5.215004574565416
2019-01-01,1093,3,5.580969807868253
2019-01-01,1093,4,5.397987191216834
2019-01-01,1093,5,5.3064958828911255
2019-01-01,1093,6,4.574565416285453
2019-01-01,1093,7,3.476669716376944
2019-01-01,1093,8,3.659652333028362
2019-01-01,1093,9,3.202195791399817
2019-01-01,1093,10,2.8362305580969807
2019-02-01,1048,0,24.61832061068702
2019-02-01,1048,1,8.683206106870228
2019-02-01,1048,2,7.442748091603053
2019-02-01,1048,3,6.488549618320611
2019-02-01,1048,4,5.916030534351145
2019-02-01,1048,5,5.916030534351145
2019-02-01,1048,6,4.484732824427481
2019-02-01,1048,7,4.00763358778626
2019-02-01,1048,8,3.816793893129771
2019-02-01,1048,9,2.6717557251908395
2019-03-01,1100,0,21.545454545454547
2019-03-01,1100,1,8.363636363636363
2019-03-01,1100,2,6.454545454545454
2019-03-01,1100,3,7.0
2019-03-01,1100,4,4.7272727272727275
2019-03-01,1100,5,4.818181818181818
2019-03-01,1100,6,4.090909090909091
2019-03-01,1100,7,4.090909090909091
2019-03-01,1100,8,2.727272727272727
2019-04-01,1037,0,22.372227579556412
2019-04-01,1037,1,6.750241080038573
2019-04-01,1037,2,5.400192864030858
2019-04-01,1037,3,3.8572806171648986
2019-04-01,1037,4,3.5679845708775315
2019-04-01,1037,5,3.085824493731919
2019-04-01,1037,6,3.471552555448409
2019-04-01,1037,7,2.314368370298939
2019-05-01,1001,0,21.47852147852148
2019-05-01,1001,1,7.192807192807193
2019-05-01,1001,2,6.293706293706293
2019-05-01,1001,3,4.695304695304696
2019-05-01,1001,4,4.195804195804196
2019-05-01,1001,5,3.6963036963036964
2019-05-01,1001,6,2.997002997002997
2019-06-01,886,0,20.993227990970656
2019-06-01,886,1,6.207674943566591
2019-06-01,886,2,5.07900677200903
2019-06-01,886,3,4.288939051918736
2019-06-01,886,4,3.724604966139955
2019-06-01,886,5,2.4830699774266365
2019-07-01,802,0,19.07730673316708
2019-07-01,802,1,7.4812967581047385
2019-07-01,802,2,4.987531172069826
2019-07-01,802,3,4.738154613466334
2019-07-01,802,4,2.6184538653366585
2019-08-01,730,0,20.273972602739725
2019-08-01,730,1,7.671232876712328
2019-08-01,730,2,4.931506849315069
2019-08-01,730,3,2.8767123287671232
2019-09-01,762,0,16.141732283464567
2019-09-01,762,1,6.955380577427822
2019-09-01,762,2,3.0183727034120733
2019-10-01,717,0,17.99163179916318
2019-10-01,717,1,4.602510460251046
2019-11-01,292,0,11.643835616438356
